time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-24T15:18:55.850Z,35.6268349,-117.4814987,3.43,1.72,ml,32,65,0.04321,0.14,ci,ci38636735,2019-07-24T15:21:05.690Z,"17km SSW of Searles Valley, CA",earthquake,0.27,0.61,0.216,15,automatic,ci,ci
2019-07-24T15:13:51.080Z,35.667,-117.4721667,10.2,1.09,ml,23,58,0.03953,0.17,ci,ci38636695,2019-07-24T15:17:31.243Z,"13km SSW of Searles Valley, CA",earthquake,0.3,0.59,0.232,13,automatic,ci,ci
2019-07-24T15:12:34.199Z,59.8938,-153.6798,164.2,1.6,ml,,,,0.89,ak,ak0199fa6an1,2019-07-24T15:18:34.782Z,"71km ENE of Old Iliamna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-07-24T15:08:22.970Z,35.6898333,-117.4955,1.63,1.02,ml,22,72,0.06346,0.17,ci,ci38636679,2019-07-24T15:11:58.314Z,"12km SW of Searles Valley, CA",earthquake,0.23,0.4,0.145,12,automatic,ci,ci
2019-07-24T15:07:09.880Z,35.6061667,-117.5855,3.34,1.21,ml,25,44,0.02072,0.18,ci,ci38636671,2019-07-24T15:17:46.140Z,"8km ESE of Ridgecrest, CA",earthquake,0.24,0.72,0.141,17,automatic,ci,ci
2019-07-24T15:04:52.140Z,35.6123352,-117.4683304,6.8,1.09,ml,15,137,0.02626,0.19,ci,ci38636647,2019-07-24T15:08:34.192Z,"18km SSW of Searles Valley, CA",earthquake,0.78,0.92,0.076,5,automatic,ci,ci
2019-07-24T14:59:59.890Z,35.606,-117.6041667,3.55,1.72,ml,25,39,0.03274,0.15,ci,ci38636639,2019-07-24T15:10:59.130Z,"7km ESE of Ridgecrest, CA",earthquake,0.22,0.54,0.203,26,automatic,ci,ci
2019-07-24T14:59:12.360Z,35.9581667,-117.7071667,2.57,1.5,ml,26,44,0.08183,0.16,ci,ci38636623,2019-07-24T15:09:50.120Z,"18km E of Little Lake, CA",earthquake,0.22,0.34,0.26,21,automatic,ci,ci
2019-07-24T14:53:38.510Z,35.5331667,-117.3795,6.8,1.42,ml,25,63,0.01471,0.18,ci,ci38636607,2019-07-24T14:57:20.066Z,"26km S of Trona, CA",earthquake,0.29,0.52,0.15,18,automatic,ci,ci
2019-07-24T14:52:33.340Z,35.6855,-117.5446667,6.83,1.08,ml,21,55,0.06638,0.17,ci,ci38636599,2019-07-24T14:56:20.059Z,"14km ENE of Ridgecrest, CA",earthquake,0.26,0.76,0.169,13,automatic,ci,ci
2019-07-24T14:50:45.700Z,35.9411667,-117.664,1.85,1.02,ml,16,50,0.05085,0.17,ci,ci38636591,2019-07-24T14:54:30.129Z,"22km E of Little Lake, CA",earthquake,0.27,0.38,0.122,14,automatic,ci,ci
2019-07-24T14:49:18.630Z,35.6431667,-117.436,5.25,1,ml,21,89,0.02409,0.15,ci,ci38636583,2019-07-24T14:52:59.037Z,"14km SSW of Searles Valley, CA",earthquake,0.26,0.41,0.222,13,automatic,ci,ci
